id_reclamo,distancia_centro_km,conexiones_afectadas,calificacion_atencion
B74837D18885012,0.4,40.0,4.4
C721442F2897F3F,6.64,70.0,1.6
1E3D14DD79024AB,41.02,79.0,3.7
3A9C4E3B03CDF52,13.02,17.0,4.0
F5107A7286C9D00,59.75,,
D551643A1C62909,0.4,35.0,3.4
480CAFE39CCC1A8,2.86,8.0,4.2
A354A770B512344,3.69,5.0,3.9
A5A0C4A3E465EDE,0.4,38.0,4.2
1D1456F1A48B044,18.85,49.0,4.5
BD1BBCD066FC5A6,35.74,13.0,4.1
65448F90F1397A1,0.4,131.0,5.0
81265F872FE5983,12.25,24.0,4.2
C475FA23DFEF596,25.16,51.0,2.6
E80F73EFDEC8C39,45.1,47.0,3.6
11989D003474EB7,72.56,9.0,4.2
0004598C26700BC,29.72,43.0,4.5
313C39433A0A71D,18.42,23.0,1.8
75B44D494A8C35B,5.77,21.0,3.2
CA881919C55D26D,8.96,53.0,
845BF1F168D2F79,25.5,32.0,3.6
0455C8BC0DF448D,79.4,4.0,3.6
A1CFDF2E50FBFCC,113.19,48.0,3.0
2B5CB97908EBE6D,19.57,250.0,5.0
EAC67A8B8DF5354,92.93,32.0,2.9
D73CDA9DAB9286D,8.86,10.0,
3924D3287065B38,6.81,22.0,
A2350EA20A2D570,0.4,14.0,3.7
F553152D2E388BA,88.16,17.0,4.1
4F98ED324EF80F1,49.5,48.0,
C49242411CF1D40,32.46,13.0,1.8
6548D647A458E03,36.19,16.0,
9025B3FB6C4491D,15.9,47.0,
070DBA9385AD3D4,26.7,61.0,4.0
A7878005FD193E7,55.84,15.0,5.0
17CCF777448853B,3.96,30.0,3.8
927E6E863A6B9B5,58.64,60.0,4.5
C0EC83712BF34B7,42.33,9.0,4.6
624903F57648351,8.46,50.0,2.8
A3653DA4406FECE,3.53,13.0,4.4
6217A4F21594640,61.15,314.0,5.0
A02CB1C25E68882,0.4,16.0,4.9
83DBBBC4E7F3D5E,36.51,136.0,4.3
8F20F41905773A5,11.56,,3.1
BC510B4ED4959F2,55.64,,4.9
DB700A645F6DECC,73.56,20.0,4.1
CCFC76EDF9BFCC3,8.98,31.0,4.9
29811E9648527C6,12.1,67.0,5.0
662A1034DC40D3D,3.41,48.0,3.8
ECB541C3103052C,61.21,26.0,5.0
67C8A19890094B8,100.5,102.0,2.1
D05CA7A054D78F1,51.52,9.0,4.9
452F1E946C9A5B2,0.4,7.0,4.8
7C25D8903AB51BD,47.2,7.0,4.4
A338C5DFB4D5ED2,52.65,221.0,4.6
F2BEF9F69687E49,3.53,13.0,4.0
53DCA823EA88096,5.19,28.0,4.7
13B98ED2D262601,5.69,30.0,4.4
B5CBE1B094AD567,55.66,23.0,3.7
7C20B1925E4391C,15.63,5.0,4.4
D4C9CCDBB8B6159,83.37,12.0,5.0
E7E035412E29CD5,12.49,99.0,5.0
7A1EC5450957640,4.58,113.0,
274C1BEE6EBE38B,14.02,333.0,4.1
D47684FAF722AFA,51.89,3.0,4.4
BE1950EB47644A9,40.72,18.0,3.6
7D6D931C725458A,41.77,7.0,
AA1124D3A1761F1,66.54,80.0,5.0
FCA235D6C9B3FBE,72.03,40.0,
51AD35AB5AF5582,12.35,4.0,1.7
00CABD3EC331A36,9.65,49.0,3.4
D13D089417BE364,49.42,,
3F2FDD53D12D59B,33.05,7.0,3.6
7753DD60ED6CE9B,0.4,79.0,4.3
77A81B02D5C7974,31.1,8.0,4.1
FBAF975B88382F9,11.23,,5.0
F2C5042C90F75C0,66.58,9.0,4.3
BB38F002D77EAC7,5130.0,109.0,5.0
92BF6032D21E202,54.12,37.0,5.0
D36D973D7532AEC,59.31,24.0,4.2
C23935D1304BF6F,57.31,15.0,4.7
A5AD688FAF159DB,26.04,41.0,2.5
BDA03E35E103AE9,96.79,72.0,4.0
5DB9DF70967B181,2.16,34.0,4.1
1D7C752A61E2558,0.4,34.0,4.5
DE9F436B3EDFD9C,10.63,,4.5
09E7409747308B4,26.88,116.0,3.0
C652D42D13D5DCB,19.4,16.0,4.5
C4C566F2320A4D8,14.88,24.0,4.2
4EF404E5E9147E7,95.12,62.0,3.0
CC9532E7A7BCB2C,43.11,97.0,3.8
804E8DE68203C93,37.34,44.0,3.3
DC507889D7EF992,36.42,18.0,4.1
A457B421A5BBEF1,13.57,16.0,4.7
DFB017626FB2CFC,10.72,166.0,3.9
3DD1BA08C3C2ADB,8.38,47.0,4.6
0EB5C46645A1CB3,69.92,6.0,5.0
E84923D1D560B94,49.36,17.0,5.0
4FF26995D7179E4,80.11,42.0,5.0
E489AA43C939E87,1.76,71.0,4.5
977E3302B44467E,85.21,71.0,
7419FE4F297BAD8,59.01,279.0,4.5
56C45D53F12CC8A,11.67,13.0,
8A9C524C114014F,8.46,10.0,2.3
DA6AA1C9DDB18B6,43.49,244.0,3.7
65468100F92C3EA,43.25,,4.8
995B5A71A49C872,27.6,48.0,3.7
6A85F459A6472F5,17.34,5.0,
1715C01344B7017,49790.0,23.0,4.8
8D2DEE449528142,4.67,34.0,4.6
53B978CE86EDC7A,54.6,17.0,5.0
7C61757A0DE3408,0.4,9.0,3.8
A8561BEBEA09108,16.13,24.0,3.9
5EE79DA6195F630,6.73,63.0,4.9
243EAB945DB6614,19.82,44.0,4.9
BE39E6A97FBA551,0.4,,4.2
C2455640499F737,1.77,2.0,4.6
4116D315587DA0D,53550.0,28.0,1.9
B6BE34BC864ADB9,41.65,23.0,2.7
FCF66F1364A65A5,0.4,67.0,5.0
8ED54FD80952CE3,11.69,,2.7
2EE9FF2ADEAFCBD,10.27,32.0,
1D5BF540E46ECA9,6.49,166.0,4.7
1C40980F0B8BA97,14.69,90.0,2.2
9E186D266D5C701,63.14,18.0,5.0
5C7C20B12C5C407,61.55,14.0,4.6
4F44F86D2BF71B8,102.91,40.0,5.0
E57CBB542D102EF,15.2,20.0,5.0
FE1A008A0EB7F55,13.59,27.0,2.9
4D88F843BF90BF9,46.62,94.0,4.9
E53C17206E3DF34,9.18,87.0,5.0
60E3C29E86B2E65,6.94,16.0,3.5
4801674CCFA6F4A,15.97,40.0,
B5CDE19047F0B3A,0.4,4.0,5.0
B6D500D0E4ACA46,13.09,40.0,5.0
C42B62C061F0579,6.31,9.0,4.3
720EE81A24B31B3,42.2,53.0,2.3
18D7B2B1968D16E,37.61,20.0,3.7
633531C172F7179,0.4,218.0,5.0
176FFFC920C2115,0.91,14.0,5.0
D37FE6FD554E7CC,12.9,48.0,4.3
8A306C936DAC931,78.81,7.0,4.7
A7A1DFFE978D795,14.15,75.0,4.6
532CDC068B6FF4A,29.83,28.0,3.5
327465E191A4E77,9.72,,3.8
C77AF812F7C8594,72.73,18.0,3.9
D251CB16A869156,67.98,38.0,4.2
CD9E86B31A18DC0,1.89,101.0,3.6
656572E079A2609,0.4,105.0,4.4
29FB7260AF16D74,50.44,33.0,4.2
B6793FC400C0733,60.53,18.0,4.8
59D8B9B44D5CB61,17.42,44.0,2.1
508852AC6F87C35,22.74,4.0,
F4F323C51B167A4,68.49,13.0,3.8
55037A2579D2851,13.29,,3.8
F27E5E9B64B1C40,0.4,82.0,3.0
EEAA1616F361A53,4.55,11.0,4.3
3509683480E3A7D,0.4,26.0,4.4
5363F015D2CD5DC,54.71,8.0,4.4
CCE1FAEEBEC47AD,15.48,51.0,3.2
373EF3A9EEB53B2,86.04,23.0,4.0
2DE2F96B2BC67BB,21.1,17.0,3.9
0534A7B2CCA194C,56.46,5.0,5.0
9D99943B1ECD1F7,14.91,32.0,1.7
880F710AC1A5A5A,6.51,29.0,5.0
20860E260C6CA2C,18.53,15.0,2.3
EE5BDB7F18AA271,0.4,13.0,2.3
91DFF84C0B7D524,16.11,76.0,3.1
F55559841C71A1F,59.24,14.0,5.0
3C009ABFD106D78,55.76,264.0,4.4
1ABC986C26521B8,12.64,43.0,4.0
15E24164ED91844,0.4,52.0,4.2
D034FE0B237DC96,57.5,28.0,3.6
82FCC0380C35B33,6.29,106.0,5.0
59EBE0863C10995,7.52,,4.7
7F765E3DD9A55E4,52.57,9.0,5.0
5127DF56BACB58E,0.4,26.0,4.8
944F2C438356CBB,39.03,81.0,4.9
054C924BB34644F,48.17,23.0,4.6
7F0DA09163D9CCB,47.59,68.0,4.2
F83A073FA0093FD,13.1,14.0,4.5
4D16FB7889AD050,28.6,16.0,4.5
FC51A40805829DA,74.43,4.0,1.8
DB44BEF5E4D8A30,6.68,29.0,4.7
3B9163D03A53BD8,28.17,47.0,
279A0DA9FA5C56E,7.1,26.0,3.5
F52C72A5223396E,15.99,2.0,4.0
8D27BE945BB5674,2.66,20.0,4.9
8345023DFDD7229,64.93,9.0,4.2
35700649665DD31,17.24,89.0,4.4
A4E54F6950BFE0D,22.31,14.0,4.4
12B48FECABC7E74,19.09,22.0,2.2
F8CD8011459BD8E,80.86,53.0,3.6
337024FBE515CCD,44.06,13.0,5.0
C278FE4C57ACFE6,10.44,36.0,1.7
D3A5437F2F2B84D,45.84,207.0,3.8
01D2D453D7D822A,43.48,15.0,5.0
824B6346C70FD12,7.12,16.0,4.9
2D67A6B7BD3EF06,32.11,26.0,
5F5ABFCA4919EF8,19.12,63.0,3.9
F3CF7DE55FD5452,13.23,56.0,4.9
3CCCB5BFBB9F86B,95.2,144.0,3.9
294948BB95A3B43,29.51,10.0,3.1
08EDBC70282264B,56.51,10.0,3.6
76CBC0E3D044A6E,11.48,,
BD0F44C426AD58E,73.7,75.0,
C778D0BAAFA606B,0.98,75.0,4.0
22E45D49EDDD015,3.2,4.0,5.0
0BDBA4AF626F8BC,60.51,24.0,
642D3960F3B524E,10.63,13.0,4.7
1D4C3E043EC17FC,74.35,27.0,4.8
E8200D2AA5B84C8,0.4,111.0,3.9
E25C150D27817D0,81.89,10.0,4.2
7E7E07EE43231DD,14.87,115.0,3.3
9B416859629BC59,76.97,11.0,1.8
36BEAC471DFE6BB,30.12,17.0,
B28AE7057A1F105,29.39,13.0,4.1
D01223272A269B4,60.14,22.0,2.9
219E340046BA43B,0.4,25.0,5.0
C4E9FE6B3B3E8C3,16.95,,2.2
EB3AD046F1D574B,8.19,6.0,4.5
996047502024180,14.45,8.0,3.7
F065604D4AFB046,3.77,28.0,4.1
7FAEF68EB74D02D,4.19,65.0,4.1
880AB508E2BDF3A,53.56,3.0,4.8
29E6A1D0DBDAD71,12.58,45.0,
23665245562678B,45.31,3.0,3.4
49CADDEE23F8642,63.77,141.0,3.5
7444B4A27251527,78.49,18.0,4.1
4D8CC8E83E18941,2.76,26.0,4.7
986C3F5949C3BF5,53.99,32.0,3.8
2C6CC6929AFAAC9,54.58,45.0,4.5
1BC01BAF2F04744,52.99,22.0,5.0
29A680421D2AAE6,48.55,22.0,3.3
D35BED59F2C259F,30.41,23.0,4.0
F8F9E3D9674DFFC,83.23,176.0,4.8
5E3D685361BB1FC,0.4,12.0,
75D1038B866E168,33.4,60.0,
84A0582F5E56CB6,7.61,112.0,
6D5A4BD1392CF4F,4.06,55.0,4.3
D4AD0A4A7E22BCD,16.92,,5.0
5773F5382B3D4B6,51.06,32.0,
C654C3C21201928,43.72,27.0,4.1
7CC46ECE6B650E3,42.65,36.0,3.2
9286734E30CD1ED,9.03,15.0,4.6
C05D3ACC9653DAA,18.75,46.0,4.8
D32D0467016FFA2,63.67,30.0,1.7
B90FC61DD4557D5,3.49,182.0,3.4
4E43D8D1CC5ADF1,57.24,79.0,4.4
6AE8426D07F259B,25.88,10.0,2.8
CA6517D1D648B01,68.9,22.0,4.3
494CA90DE58F8C9,41.17,24.0,5.0
DF212799A2C1096,4.52,15.0,4.4
24A7484DD1DAF11,0.4,8.0,5.0
08DE32D91542497,96.82,25.0,4.4
DEA13A9C70D672D,38.3,11.0,4.2
369E2644A08502C,9.43,29.0,4.7
4EBAC37336A4391,2.57,69.0,
89E3422FD65923F,52.84,26.0,3.8
6AAA799F7DF5540,7.37,23.0,
0897ADF769A5F30,61.55,14.0,5.0
B4DC5F5BA8DE481,56.8,10.0,5.0
438B9DC7D7DF7F7,18.73,49.0,5.0
6E1036AADF80A06,97.1,72.0,3.5
61AD61A58EA91F0,16.71,8.0,4.2
08FC99F9524D539,9.4,23.0,
A3F94F631884D48,6.83,116.0,4.6
C831DC085FECD61,11.98,29.0,4.5
A370AA9C6B5362D,45.04,13.0,5.0
7733C604A8BC1AF,45.63,16.0,4.9
5F276E0BD0EA1BF,13.61,43.0,4.4
4D919673A28EAA0,51.85,22.0,
66388014E61DCEC,8.21,64.0,4.9
4AAE28A61D1DD2D,22.28,42.0,4.9
340F366367962ED,81.2,33.0,3.0
021E63C3F4562B1,40.78,,3.8
D81239F1B97995E,72.46,16.0,5.0
EBBAFFC74AAAA5E,77.14,30.0,4.8
3D61C7B61689461,13.87,9.0,2.0
2CCE828AD16071D,65.09,14.0,5.0
588E6728E31D4D0,64.6,16.0,4.2
500A455DCFAF9E4,0.4,12.0,3.7
1110BF45EE5A820,15.93,6.0,4.2
DCB3EB366AE84DE,23.06,177.0,4.1
29792C99CFEC673,8.47,262.0,2.2
5306FFA7216EF5A,51.84,21.0,4.9
437119381E302C8,26.79,51.0,4.2
BF649CB35FB3D8A,64.34,5.0,4.1
311E67B2E6021B9,64.87,24.0,4.7
FBE4270975B19DB,13.71,36.0,4.9
E1A0520340AC0FB,0.4,34.0,4.7
E39F9DCB26C8A36,25.59,22.0,4.4
342C126C9FA3B08,4.76,31.0,
7D9BC74D5B12014,7.87,27.0,4.7
D21739CE16A4776,0.4,84.0,5.0
BA4BAC2EB0C85D2,1.68,23.0,
D73EBF365579B90,25.76,11.0,1.9
5E7E910A50DA0EE,0.4,27.0,3.5
D2D5A960458F0AF,40.91,31.0,4.3
81E0164B25A9D63,74.88,21.0,3.8
3A860CFD2CAD025,0.4,,5.0
2FAB3D6222F3324,39.75,164.0,4.7
C59F51B18857CC0,78.1,41.0,4.5
5D07119771FDBB3,62.96,6.0,3.8
0A1DA2B8498B225,0.47,27.0,4.7
261E010B59434CE,72.33,12.0,3.7
785CCC2E325DE8C,80.45,158.0,3.5
A56696B496C82D5,49.31,30.0,5.0
CBD7E3D2E4656AC,17.71,24.0,5.0
6318EA64F200692,9.68,20.0,4.8
294A1227BB28A6C,66.4,17.0,4.3
BA776F29BFC4046,56.97,10.0,
0791D452865B191,89.23,34.0,4.4
0C9B673AADF2E64,28.47,23.0,3.9
EC7DC83464CC674,68.27,63.0,5.0
3467CE3A1421BC6,76.63,32.0,4.1
70B61AC1AD4E9C5,8.32,61.0,5.0
B3D436335A88F32,5.1,107.0,5.0
68AE8804B2C076D,16.72,37.0,3.6
F4F43DBB7A759F3,63.45,20.0,4.3
21ED3DA20ED924F,65.06,,5.0
C59E99EEB8C3D89,54.11,21.0,5.0
AD1BBD09F1D5430,40.08,,
AE42EC12BD36402,3.75,92.0,4.1
1D285406A3EE6B8,0.4,25.0,4.5
076EF128D00CFA9,71420.0,12.0,2.6
73945D20182EC7F,24.19,49.0,2.0
A181D4D8758000D,29.57,,3.2
8291FE2D2171E73,35.71,65.0,3.5
2CA6AB1CD65C6C0,47.73,160.0,4.6
189BA94C1DB2261,57.41,14.0,
037BC0E4C2743BE,4.58,16.0,4.3
C4CB4070C0D405A,2.48,12.0,4.8
13CCEB7D2A16CD6,43.11,16.0,3.9
F5874957AA8B130,33.21,7.0,4.4
0CC865077B2370E,6.33,12.0,5.0
7A5EE5DBAD39479,4.87,10.0,
FA78D09CAF20D8F,21.55,18.0,4.4
30D7DA93EE94377,27.06,20.0,2.8
E0B34AAB6085CBF,26.81,62.0,
21D0EAA36F75CA0,43.28,3.0,4.2
CDD08C8BDAB37E5,50.5,25.0,4.3
707374EC040EE7B,77.66,15.0,4.0
E43C8316B401235,53.42,12.0,4.2
A0557545C573435,54.24,44.0,4.6
844CC259E0F5301,60.2,16.0,3.6
42B8DCF97A39A76,57.07,31.0,3.5
64A98C58CD88A52,76.42,60.0,3.8
9B1C95FD73C3F74,81.13,21.0,4.8
034799EECFE6752,13.13,,
2E77EE4FDE3996F,52.23,28.0,4.2
E7BDB7AB1B9130A,73.98,6.0,3.8
1E61024202E1297,30.75,36.0,4.0
901E25F757208F5,32.21,13.0,5.0
BC8ADCF7F266B40,66.84,40.0,4.6
0C503B5CF85DDD5,5.1,52.0,4.3
540949BF4872C1C,49.11,50.0,
450489C76A82333,0.4,3.0,3.5
FCB621A6AF41E7C,0.4,7.0,3.7
679C316F2367DB6,48.34,59.0,5.0
C5604F21F0E248B,61.82,,4.9
099BABA916E3677,8.2,37.0,1.1
30BFD916CA40020,44.57,81.0,5.0
7D5BDAA13E1B853,51.62,44.0,5.0
B892DA54E3ACAD8,2.92,18.0,4.9
60C80D15744BF42,6.74,6.0,4.5
EE17C8852FF8439,0.4,157.0,4.8
08551585BE6981E,5.74,14.0,3.8
1357EFB4E8AEC11,32.4,31.0,3.3
099F133F2F9E242,15.62,7.0,1.8
FA9500D0A4E40C3,61.23,38.0,3.5
16716134363B460,71.05,22.0,5.0
F2196AD25549C28,49.98,80.0,
55434FC548ECFD0,0.4,28.0,3.7
903B405B01C84A0,9.93,33.0,4.4
73ABAC17D8A332C,56.52,14.0,2.9
90CACEBC701542C,14.24,9.0,
1DA9D8481507BAD,79.45,11.0,4.0
164F6B4E48AC22C,84.62,47.0,4.9
00BDB8674E16891,9.15,93.0,4.2
2C2AC67E7681A60,8.25,15.0,3.8
BC8633041C09279,12.26,56.0,4.4
5378C375E21A54F,65.0,201.0,3.8
2475E8E8AFC1927,7.19,56.0,4.6
B39BE9256ACF6F6,9.23,23.0,4.3
25DFBD075DDF8AE,2.7,103.0,3.3
61BD9A2D66B5082,0.46,26.0,4.0
1BAAC545418EE89,9.19,32.0,4.5
7DC078E1E42ED4E,60.28,21.0,5.0
74BBD7E8F865477,40.14,27.0,4.4
EC21F3F304BE3C5,6.15,,4.6
22F82EFB493876B,52.82,50.0,4.6
AFCB41C86779047,38.65,,4.9
C01E617FBA45424,28.41,10.0,
6B8E36BC1E3EC23,30.4,23.0,5.0
68773625B4E724B,75.47,,
48FBF5B89267963,71.01,22.0,3.2
A4FD74B5CA92863,44.77,20.0,
D74ABA687D0607C,46.93,69.0,4.8
C15AC739BCFE0EF,22.63,7.0,5.0
AA4E9EFE4AF0CC2,92.19,144.0,4.1
83258D5F4489841,9.23,50.0,5.0
4FD7F7EAA3DBCCD,0.4,90.0,5.0
5AB3B8E9DA6DC22,15.51,3.0,
1E2D6B56B03C10D,65.28,,4.5
3341AE1F61DA07B,70.09,31.0,3.8
257AE7145C64032,53.91,14.0,4.1
9E30F3601353EC6,80.73,4.0,4.2
C3F8F9AB02C950A,0.51,69.0,3.3
AE74C2D86812B97,13.54,138.0,4.1
BE33913F5628154,4.91,73.0,3.8
6531C9E580DCF6F,59.14,35.0,4.6
FABBB52EC8FF887,0.4,62.0,4.2
EB94F86E1DCE1B8,39.09,52.0,5.0
4B8BE45E0AED507,0.4,11.0,5.0
4C31DAA1F7D393A,43.06,3.0,4.0
A2BB7CBC6779588,63.89,66.0,4.8
8748AB3A057FDA0,70.99,5.0,5.0
28BF80D99060D61,41.25,10.0,5.0
DA61A3ED394B095,57.86,3.0,
F1B795ABF058415,3.75,73.0,3.2
B3FEC65152F1194,74.16,30.0,1.9
03C773CD1FA0D51,21.37,15.0,4.3
4F4D69C0C248641,75.4,73.0,3.4
764D1DC8B40B184,33.05,45.0,
90233ACA06E209E,11.22,19.0,3.8
25482EAA296B8C1,52.34,65.0,4.9
71BC859A2DA6094,37.99,,4.3
CA68CA90F77D165,10.94,73.0,4.4
A43F677F39359A5,60.38,13.0,4.6
BFB1303A5417BAE,0.4,77.0,2.4
D7B4A8209906005,70.16,15.0,4.0
FBA9D1C179457F7,58.58,21.0,4.0
E6453D3B06EFFDF,53.75,2.0,4.6
2E826ACC1C6A637,31.53,89.0,4.0
853A10B3F4C64F8,8.07,,4.3
6C58A87F3A61AC9,53.59,27.0,
87AEF38744300FE,63.38,48.0,3.8
6FE8BF6110DA6BE,22.49,10.0,3.2
94CE85B14DA6167,29.76,,
EC5FA86DCDB95E7,0.4,6.0,4.5
EC6849BA701BBD0,55.92,14.0,4.2
A417976AEFEC05A,29.86,72.0,2.0
247C3378CEBF4BE,53.25,4.0,4.8
A5C3C9E01EADA45,48.26,49.0,3.3
AEF5DC458908C35,78.55,261.0,4.2
7C899D8030FDD69,69.29,8.0,4.6
7A5019C1FC6736A,11.32,33.0,4.9
4FB2863ABEF4243,13.11,10.0,4.0
F1E35E9CB2929EF,10.43,20.0,5.0
03C31ADD5D3B209,32.96,74.0,4.1
A727759EFB1550D,59.99,,3.6
8E72F1078CE35EC,0.4,113.0,4.9
7D3190F91DCE4E1,67180.0,26.0,4.3
C65EC72E1705FB9,46.42,8.0,5.0
0B2BDF62DF90C95,51.86,22.0,2.8
E7736E666415EAE,25.15,19.0,5.0
8EA57829C8BD7CC,25.13,168.0,3.4
600F68453AF7FE6,59.72,5.0,3.9
E16FC14F84DD815,0.4,5.0,3.3
20D14B7AC64807E,0.4,14.0,5.0
9A917C4DB4FCEA7,50.52,,5.0
D5F16374F507F78,30.4,211.0,3.7
9E1864DB2E6BA3C,0.65,32.0,4.8
7C95941B138AAA3,58.36,28.0,4.9
EEED37ADAD516B3,60.82,,
11BC3EA80B6CF46,5.14,107.0,4.3
E55FB17B07CD28E,1.48,37.0,4.1
EC65D7A8612674C,12.14,56.0,3.0
264037A9E18B86A,19.29,4.0,
149E049709771E6,12.6,10.0,1.9
CE8065025525A2E,1.39,30.0,4.0
7A7E369A37260D7,15.68,128.0,1.5
6BCE74F13FF91BD,9.89,54.0,4.6
4183A60ED3C512F,57.95,72.0,5.0
7A4DCA2EAA1320F,3.16,27.0,4.7
AF65FD3B5D76E17,52.04,137.0,
5C27E3BB3FF2DAD,11.78,46.0,4.2
6E92A3FF352A41B,59.94,121.0,4.8
5512C6677CB6D51,53.38,45.0,3.6
01558B0A6655B5F,0.4,41.0,3.4
3EED6A492757D2F,16.64,44.0,2.4
228E87B022B8708,3.81,52.0,5.0
93129AEF8E80D1E,11.61,29.0,2.7
BF3CB69BE3AD264,60.33,34.0,4.3
F8E9EF4C2047FB1,51.92,71.0,5.0
D8AEC64574F4B02,70.78,64.0,2.8
E9153B853D87E34,58.67,15.0,4.8
AE57E7AF3E22564,61.04,19.0,5.0
00D3D4CAA0885C6,44.72,55.0,4.3
B7A7E5B0B4669C9,60.69,52.0,3.5
59CB69331A31F0F,0.4,6.0,4.9
4456F85C622DDE4,69.32,61.0,3.2
3EEFFCBC191E5F9,21.93,99.0,4.8
320E0C608ED702B,70.27,12.0,4.7
50D0D25C17D2D4C,19.19,18.0,4.8
5D13381FD23F031,26.18,13.0,4.3
565B7BAD3ABA073,43.99,25.0,5.0
D6910C2A302861D,50.04,57.0,4.4
759B8D2E4F44CC4,45.92,4.0,
72EAD86764AF666,87.36,10.0,4.7
297FA0BF82EC6C1,70.11,7.0,4.4
7AC52FA18055427,52.27,4.0,
10298826360E1B4,33.7,58.0,4.6
EE324CA72FE93DA,85.34,44.0,2.6
F050639CAD9BA54,50.56,10.0,3.3
40AC1327706D845,77.19,25.0,3.6
DB18ECC2DF4F645,24.27,16.0,4.1
186C7CFC37BFFD0,46.45,12.0,4.2
B755CD86BA8324A,91.83,112.0,2.6
50C79FE27646ABD,21.24,95.0,4.3
C93FC180E3CB2F0,68.91,68.0,5.0
A2C3CEEE4FB8714,7.53,9.0,4.0
C8B9DB9AD0A4C18,38.17,592.0,4.8
BE863105184F5E2,29.74,8.0,5.0
EAB72C401757290,99.31,13.0,4.6
8118BABFBD7BB2C,69.98,62.0,5.0
EC034945BCA7673,11.75,8.0,5.0
B98970E9212E4F9,34.62,,4.0
48AC8D650996C32,50.36,,5.0
3479E4A3AE83C80,6.92,30.0,3.0
205742806289D16,19.19,12.0,5.0
80F6B830AC2323C,20.86,112.0,3.3
B02CE267B74CCAA,41.04,,3.7
F6E0C98ABF86019,7.21,62.0,
2BBA4221E165814,36.28,12.0,4.5
9EAEEC070230285,3.76,33.0,4.8
